name,followers,followings,follow ratio,muters,reputation,effective sp,own sp,sp ratio,curation_rewards,posting_rewards,witnesses_voted_for,posts,average_post_len,comments,average_comment_len,comments_with_link_ratio,posts_to_comments_ratio,class
alicedorin77,209,5,0.023923444976076555,1,36.118073432403776,15.03406834743029,0.5631812661315109,26.69490136044337,0.001,0.916,0,33,374,81,37,0.01234567901234,0.4074074074074074,2
gentleprince95,199,187,0.9396984924623115,0,36.25964655659136,15.071767361698788,0.6057955530289313,24.879296796321974,0.001,1.214,1,18,892,62,48,0.04838709677419,0.2903225806451613,2
ksrinu445,383,157,0.40992167101827676,2,32.00156394708861,15.044362248659937,1.0889921813283803,13.814940553850848,0.046,1.01,0,7,4338,128,33,0E-14,0.0546875,2
ultimatesupport,197,23,0.116751269035533,0,34.22132763118151,15.018415119879544,0.8112161278700404,18.513457269781433,0.23,0.833,0,12,4449,94,91,0.03191489361702,0.1276595744680851,2
naja,1035,704,0.6801932367149759,2,52.63816285701424,37.7059212136347,37.7059212136347,1.0,1.122,122.562,0,32,1345,19,16,0E-14,1.6842105263157894,2
amart29,373,109,0.29222520107238603,0,48.359695580732904,19.527317714819407,19.527317714819407,1.0,0.147,28.044,12,36,6872,479,111,0.07098121085594,0.07515657620041753,2
abdawd88,36,33,0.9166666666666666,0,25.0,15.03000374583005,0.11014258630271051,136.45951353023727,0.003,0.018,0,0,0,9,5,0E-14,0.0,2
mshehzad7,179,4,0.0223463687150838,0,26.221995132147267,15.091797140722171,0.15433842919361135,97.78379383264371,0.0,0.104,0,6,3132,13,11,0E-14,0.46153846153846156,2
buddin2,942,1726,1.832271762208068,2,47.0455148470875,15.006946943374489,11.866276221782712,1.2646719714670474,0.051,20.73,11,80,1956,549,70,0.01275045537340,0.14571948998178508,2
cgastra,457,75,0.16411378555798686,2,48.385049432025205,23.120889400103465,23.120889400103465,1.0,0.033,14.813,0,151,1300,625,38,0.05280000000000,0.2416,2
sherrysmith,312,663,2.125,0,39.797218635750795,15.073119945344892,1.364289444108352,11.048329964317883,0.043,2.535,0,80,865,447,44,0E-14,0.1789709172259508,2
pitabas89,144,1176,8.166666666666666,1,29.083605887774578,15.072533666200982,0.21808206562317978,69.11404485797816,0.011,0.209,0,0,0,124,37,0.00806451612903,0.0,2
ghazi-ayadi,359,1618,4.506963788300836,3,25.0,15.022272449563568,0.12880283803550086,116.6299801982865,0.0,0.056,0,2,802,29,19,0E-14,0.06896551724137931,2
obbie,6,0,0.0,0,25.0,15.003471248264816,0.10070844635565403,148.97927424358963,0.0,0.0,0,0,0,9,6,0E-14,0.0,2
tasneem79,205,194,0.9463414634146341,1,26.666322413304993,15.042311908129177,0.12215165637814947,123.14455942833986,0.006,0.032,0,32,1284,88,20,0E-14,0.36363636363636365,2
amalmalalasekara,748,288,0.3850267379679144,2,33.05491175666488,15.008708153272092,1.5415999807509604,9.73579939068298,0.002,2.025,1,317,1290,32,40,0.09375000000000,9.90625,2
cuteman,269,121,0.44981412639405205,0,30.04351011749651,15.079417081296636,0.8455983819904175,17.832835779323332,0.003,0.022,0,6,28,14,9,0E-14,0.42857142857142855,2
baljindersaroay,187,3,0.016042780748663103,0,25.0,15.03620992935326,0.10024153785947362,149.99979300429516,0.0,0.0,0,28,58,15,7,0E-14,1.8666666666666667,2
andreja,792,14,0.017676767676767676,2,43.259265595594556,20.554387972682193,20.554387972682193,1.0,0.126,11.477,0,21,842,77,35,0E-14,0.2727272727272727,2
cjsean,496,164,0.33064516129032256,0,47.7568829307802,15.003392431322778,12.915681821303755,1.161641533052901,0.079,24.418,0,65,369,206,76,0.15533980582524,0.3155339805825243,2
shan.mirza,269,109,0.4052044609665427,3,38.72874916806238,15.000290947631685,1.0161520301112201,14.761856989047072,0.034,0.945,2,105,968,745,78,0.45100671140939,0.14093959731543623,2
deepsohi,226,108,0.4778761061946903,3,29.52682602566837,15.036811676204112,0.10024558977235777,149.999732759819,0.001,0.145,0,32,721,15,6,0E-14,2.1333333333333333,2
